Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.4207450329175152,0.7430751515131834,0.21502087015213373
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.0388234011563213,1.5187159421702514,0.7176171959343712
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.8188358695320153,2.7793739945300673,1.1044907621087938
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6997039785265491,1.1224188063562832,0.38205396745300824
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6587012834391233,2.427228111155844,1.104784525861065
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.7654884544801603,2.888876489533231,0.9611222326719623
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,4.499940159019422,8.178473462610812,2.062777801448628
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.7040275498368573,3.802652018849498,1.8408301279012362
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6504952503199035,1.0797942684550474,0.35752917656158906
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.27490491955110374,0.44299588493243314,0.17033686525868125
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.7594718111480827,3.0505726180307278,0.873850160547204
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.46122969250834306,0.8621638907821673,0.19677917703787795
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6614611154047959,1.039483469715928,0.3553962645055751
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6047811525143452,1.1626236517035518,0.2659566331238497
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.541376943589449,3.8717790569623554,1.5743928390472268
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6196948082339444,2.52405760827993,0.9218538485839569
Lesotho,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.1421543182355556,1.9203335042248444,0.5687691114004413
Lithuania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.0467702763869045,3.132572698500866,1.2389304279346973
Luxembourg,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.5058527941790354,0.8468619443867916,0.2866551824061636
Latvia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.3922370440991734,3.7121404382768595,1.5204516810730846
Morocco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.884902639257466,1.688781135773366,0.37584227477322646
Monaco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7860543968198928,1.5139997600354118,0.3579118043103307
Republic of Moldova,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.1827751050083513,3.2104840981162153,1.4029670250285187
Madagascar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6612928183469657,1.1320164565309236,0.34077228382919694
