Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.06949077429241116,0.1269950126837987,0.03322207468772006
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.6118146328525365,6.799984623567949,0.8357387040626802
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,17.17741476877372,39.229978603978665,5.0668824843517815
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.055596525419816155,0.10181972607658843,0.02497066637808895
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.4717210161619008,2.7592123744319412,0.6384500530674537
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,17.210026447281066,36.865332753712366,6.277899630914619
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,45.26955069630105,97.39542775928871,17.029065701092886
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,46.7656589058622,98.08628574483826,18.240472149659812
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,68.6571967367761,164.59794390499053,22.156035729349504
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,10.760157366645926,25.011792357579374,3.580945375293334
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.04771838397180705,0.09782416016375595,0.01841827472868636
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.28579963899944977,0.517202878697842,0.12700102037079666
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.3949393247369501,0.8344394538566554,0.13761017097567974
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.411609911141939,4.492347068164787,1.1020443040430534
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.3983142051813404,2.730648769497089,0.5547385862594217
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.9708092843924893,1.8560978204591552,0.44698813405630633
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.9418365967555595,4.031597787031107,0.7721717352942372
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.7816025666728013,1.44451745147071,0.337623080992898
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,7.594633704501678,17.018771118365255,2.300675448492665
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.3956596311054508,2.484693434670307,0.6333769863683336
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.331187307404055,4.4219806269359845,1.0257601220650958
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,10.276244934993196,18.758639240657246,4.447450106002107
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.04387844268883299,0.07945027215555302,0.020016251967781055
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,3.0083316576029553,6.404855802295768,1.0668363065063082
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.7417077301656034,5.603715687497908,1.0947336617275978
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.048359764306293705,0.09137034001890368,0.01927047593574766
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.06347785295389445,0.10919099144017629,0.030846799435962115
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.02784871443678559,0.051496338569279605,0.012056618899196401
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.20976676667554997,0.38409814285267524,0.09783308515503673
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.295972178909516,5.05275023294285,0.8658732770410369
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.0818533606836612,0.1425777472652465,0.04018817644882349
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.3398611388193196,2.5754701158852837,0.5600338489258416
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,115.2572861334379,211.33094012466486,50.92601394683835
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.7216356599784866,5.14799712658478,1.1801395056869537
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.308440917889375,4.660325047301792,0.9601441649020704
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,8.969505339284444,18.53878053643358,3.8245846354280024
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.45301927685673987,0.918838930943305,0.19829387992023653
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.09983947888192234,0.21181712576201253,0.042507567564605844
