Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,111.51014347719203,176.77511638586736,66.03164909793695
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,44.98484230846537,64.81345121166821,30.21871179045148
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,156.5490581146151,244.18897250817648,98.95719983257622
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,212.38787629276882,317.5824168470986,142.97057019694182
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,56.48381296093582,77.90437002562265,39.89312231419518
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,121.3712447097412,181.31750632052413,71.68525621553671
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,138.2723448998444,198.43495589866234,93.92883960960023
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,434.36030060800545,623.6833548384776,295.8306176502151
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,135.99129628938553,196.54476348564572,93.8563540296577
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,196.62484192088482,278.46157698860037,132.67841683548968
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,267.8893774591245,406.75683178749694,170.66101244789795
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,45.64880059526001,65.99015556277894,31.082242704745543
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,208.93046863546348,302.7543440983562,133.95065768049415
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,94.39888320045634,145.8155552627637,56.04251103725786
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,123.85632452134409,186.25516445637174,77.60095041873349
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,200.88637081154442,297.0227961096419,127.76378722423661
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,132.55471511637455,205.68570010788395,79.00716039636485
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,111.85149419233646,165.60792476895682,71.69756160891136
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,95.62415524518799,159.22943200321834,54.24724165145214
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,310.7782936319962,440.4606322971576,210.63690275245193
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,71.641209788416,110.52372943362113,43.28313921497021
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,177.23194677695562,256.9397454900874,115.22163227676687
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,184.57775443501833,267.40304823203536,121.17307403014117
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,32.9436401925027,47.52020148521788,22.1624235284553
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,110.82608386773416,177.3894568948366,65.3024939703844
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,102.8831972702643,157.21493643133607,64.06078331818125
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,27.62430101461836,40.806208706430304,18.105258592020856
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,30.55176806204818,43.41810210342049,20.90422114524284
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,41.26092294103692,60.25214022476102,26.835060468909838
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,168.5954498982792,261.47002211588597,100.44820417159238
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,133.29607731967337,209.66661167823747,82.1700436543823
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,68.00962612059497,94.39836388889793,47.2508163703727
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,98.14279105410219,146.72366968128418,61.853334186016916
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,127.4836925892058,178.01842610000716,89.19016624470575
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,82.68589669138478,124.67330328277309,51.60409651169274
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,151.9022929125738,221.9700356423311,105.91497402074387
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,165.1643491725916,252.3386762719891,104.31257428407268
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,228.76633053192586,346.2730899795789,138.81125626561496
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,60.96292050047369,85.66619230889535,40.846711059909275
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,27.74156499007147,44.72637565304981,16.758472189217695
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,161.36798679746377,238.44011146052202,107.05699992374755
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,72.39955349976236,116.99982612216986,44.19886959265027
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,139.46214590756486,204.75827758349467,94.02087487548741
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,56.209090923443696,91.20991264472471,32.410231592528255
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,190.73321193262592,287.92316052411945,114.40124157868756
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,134.40675031963477,215.7439098947777,76.2239844781368
Lesotho,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,175.1869190239636,258.584524582754,114.42858670358588
Lithuania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,73.85670883972932,111.4790809252525,46.49609437568174
Luxembourg,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,34.562382047658545,51.11968085412195,22.486366928006078
Latvia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,66.6309413536657,99.88515489372733,42.95703469027604
Morocco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,66.81438150844366,103.39724134165776,40.66521828232157
Monaco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,59.51101375760863,88.97742509502186,38.61280244586584
Republic of Moldova,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,103.95537424371145,151.11698530496764,68.61908566835585
Madagascar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,147.47481633951037,207.94839099827186,99.90058589762134
Maldives,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,110.20711199017988,176.94604483923948,66.58458101589191
Mexico,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,119.41794101008468,174.06754343559885,77.52108372049874
Marshall Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,138.2569375366327,209.99407503261426,90.22835532543435
North Macedonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,97.05701352758338,165.82169540474936,53.286138551207095
